ID_NO,Name_en,Region,Country,Location,Date_inscribed,Danger,Endangered Year,ÿDate_end,ÿCategory,ÿCriterion
1,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,Asia and the Pacific,Afghanistan,Athens,2003,1,Y 2003,,Cultural,(i)(ii)(iii)(iv)(vi)
2,Minaret and Archaeological Remains of Jam,Asia and the Pacific,Afghanistan,Delhi,2002,1,Y 2002,,Cultural,(ii)(iii)(iv)
3,Historic Centres of Berat and Gjirokastra,Europe and North America,Albania,Cusco,2005,0,,,Cultural,(iii)(iv)
4,Butrint,Europe and North America,Albania,Giza,1992,0,P 1997-2005,2005,Cultural,(iii)
5,Al Qal'a of Beni Hammad,Arab States,Algeria,Athens,1980,0,,,Cultural,(iii)
6,Tassili n'Ajjer,Arab States,Algeria,Giza,1982,0,,,Mixed,(i)(iii)(vii)(viii)
7,M'Zab Valley,Arab States,Algeria,Tokyo,1982,0,,,Cultural,(ii)(iii)(v)
8,Dj‚mila,Arab States,Algeria,Cusco,1982,0,,,Cultural,(iii)(iv)
9,Tipasa,Arab States,Algeria,Agra,1982,0,P 2002-2006,2006,Cultural,(iii)(iv)
10,Timgad,Arab States,Algeria,Agra,1982,0,,,Cultural,(ii)(iii)(iv)
11,Kasbah of Algiers,Arab States,Algeria,Giza,1992,0,,,Cultural,(ii)(v)
12,Madriu-Perafita-Claror Valley,Europe and North America,Andorra,Ontario,2004,0,,,Cultural,(v)
13,"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo",Africa,Angola,Arizona,2017,0,,,Cultural,(iii)(iv)
14,Antigua Naval Dockyard and Related Archaeological Sites,Latin America and the Caribbean,Antigua and Barbuda,Arizona,2016,0,,,Cultural,(ii)(iv)
15,Los Glaciares National Park,Latin America and the Caribbean,Argentina,Queensland,1981,0,,,Natural,(vii)(viii)
16,Iguazu National Park,Latin America and the Caribbean,Argentina,Bangkok,1984,0,,,Natural,(vii)(x)
17,"Cueva de las Manos, R¡o Pinturas",Latin America and the Caribbean,Argentina,Cusco,1999,0,,,Cultural,(iii)
18,Pen¡nsula Vald‚s,Latin America and the Caribbean,Argentina,Athens,1999,0,,,Natural,(x)
19,Ischigualasto / Talampaya Natural Parks,Latin America and the Caribbean,Argentina,Uttar Pradesh,2000,0,,,Natural,(viii)
20,Jesuit Block and Estancias of C¢rdoba,Latin America and the Caribbean,Argentina,Delhi,2000,0,,,Cultural,(ii)(iv)
21,Quebrada de Humahuaca,Latin America and the Caribbean,Argentina,Delhi,2003,0,,,Cultural,(ii)(iv)(v)
22,Los Alerces National Park,Latin America and the Caribbean,Argentina,Ontario,2017,0,,,Natural,(vii)(x)
23,Monasteries of Haghpat and Sanahin,Europe and North America,Armenia,Arizona,1996,0,,,Cultural,(ii)(iv)
24,Monastery of Geghard and the Upper Azat Valley,Europe and North America,Armenia,Queensland,2000,0,,,Cultural,(ii)
